Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
640,I am a developer by profession,Yes,25,13,Yearly,64400,64400,United States,United States dollar,USD,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;PostgreSQL,"Developer, desktop or enterprise applications;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Flex time or a flexible schedule;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,"I’m not actively looking, but I am open to new opportunities",Assembly;C;C#;Rust,Bash/Shell/PowerShell;C#;C++;SQL,.NET;.NET Core,.NET;.NET Core,Confluence;Jira;Microsoft Teams,"Jira;Google Suite (Docs, Meet, etc)",No,Extremely important,Very important,Curious about other opportunities;Better compensation;Better work/life balance,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Yes,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,2 to 9 employees,Linux,Windows,I have some influence,Gay or Lesbian,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Daily or almost daily,Easy,Too short,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,12,2
641,I am a developer by profession,Yes,27,18,Monthly,319693,38364,Haiti,Haitian gourde,HTG,DynamoDB;Firebase;MongoDB,Firebase,"Developer, front-end;Developer, mobile;Educator",Some college/university study without earning a degree,Employed full-time,Black or of African descent,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;Kotlin;Python;Swift,HTML/CSS;Java;JavaScript;Kotlin,Node.js;Pandas;React Native;TensorFlow,Node.js;React Native,"Jira;Github;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company",Once a year,Not sure,No,Yes,Often: 1-2 days per week or more,Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Do other work and come back later,MacOS,10 to 19 employees,Android;iOS,Android,I have some influence,Straight / Heterosexual,Yes,"Yes, definitely",Daily or almost daily,Multiple times per day,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Express;React.js;Ruby on Rails,Express;React.js,Just as welcome now as I felt last year,60,5,2
642,I am a developer by profession,Yes,71,14,NA,NA,NA,United States,United States dollar,USD,NA,NA,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Educator",NA,"Independent contractor, freelancer, or self-employed",NA,Man,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,Slightly satisfied,I am not interested in new job opportunities,Julia,HTML/CSS;JavaScript;Python,Cordova;Node.js;TensorFlow,NA,Github,Github,No,Neutral,Somewhat important,Curious about other opportunities;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Wanting to work with new technologies,"Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once a year,Not sure,Onboarding? What onboarding?,Yes,Often: 1-2 days per week or more,Start a free trial;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Linux;Windows,Linux;Windows,NA,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,A few times per month or weekly,Neither easy nor difficult,Appropriate in length,No,Mathematics or statistics,NA,Django;jQuery,Just as welcome now as I felt last year,40,More than 50 years,More than 50 years
643,I am a developer by profession,Yes,26,12,Monthly,60000,29364,Ukraine,Ukrainian hryvnia,UAH,Elasticsearch;MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",Python;Rust,Python,NA,NA,Jira;Gitlab;Slack,Confluence;Jira;Gitlab;Slack,Not sure,Extremely important,Fairly important,Curious about other opportunities;Better compensation;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,No,Yes,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,Linux-based,20 to 99 employees,Docker;Linux,Docker;Linux;Microsoft Azure,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Too long,No,"Computer science, computer engineering, or software engineering",Flask,Flask,Just as welcome now as I felt last year,40,10,4
644,I am a developer by profession,No,53,17,Yearly,1e+05,75631,Canada,Canadian dollar,CAD,NA,Microsoft SQL Server,"Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,Diversity of the company or organization;Office environment or company culture;Family friendliness,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",NA,C#;SQL,NA,.NET,NA,NA,Not sure,Neutral,Fairly important,Having a bad day (or week or month) at work;Trouble with leadership at my company;Growth or leadership opportunities,"Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity,Windows,500 to 999 employees,NA,Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",NA,NA,Just as welcome now as I felt last year,36,25,22
645,I am a developer by profession,Yes,43,10,Monthly,180000,35028,Argentina,Argentine peso,ARS,Microsoft SQL Server;Oracle;SQLite,MySQL;Oracle;SQLite,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack","Professional degree (JD, MD, etc.)",Employed full-time,Hispanic or Latino/a/x,Man,Flex time or a flexible schedule;Remote work options;How widely used or impactful my work output would be,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,.NET Core;Hadoop;Xamarin,.NET;.NET Core,Github;Stack Overflow for Teams,Github;Slack,No,Extremely important,Very important,Having a bad day (or week or month) at work;Curious about other opportunities;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once every few years,No,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers);Stack Overflow for Teams (private Q&A for organizations),Play games;Visit Stack Overflow;Do other work and come back later,Windows,"10,000 or more employees",Docker;Kubernetes;Microsoft Azure;Windows;WordPress,Windows;WordPress,I have little or no influence,Straight / Heterosexual,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET Core;Vue.js,React.js;Vue.js,Somewhat less welcome now than last year,40,32,25
646,I am a developer by profession,Yes,NA,NA,Yearly,NA,NA,United States,United States dollar,USD,NA,Elasticsearch;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,NA,Slightly satisfied,I am not interested in new job opportunities,NA,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,NA,Unity 3D,NA,"Jira;Github;Gitlab;Facebook Workplace;Slack;Microsoft Teams;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",NA,NA,NA,NA,NA,Once every few years,Not sure,NA,No,NA,NA,Annoyed,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,MacOS,"1,000 to 4,999 employees",NA,Android;Arduino;Google Cloud Platform;Heroku;iOS;Linux;MacOS,I have little or no influence,NA,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,NA,NA,No,"Computer science, computer engineering, or software engineering",Angular,Drupal;jQuery;Ruby on Rails,Somewhat more welcome now than last year,NA,NA,NA
647,I am a developer by profession,No,63,19,Yearly,150000,150000,United States,United States dollar,USD,NA,MySQL,"Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack","Associate degree (A.A., A.S., etc.)",Employed full-time,White or of European descent,Man,Remote work options;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,Haskell;Scala,Java;Scala;SQL,NA,NA,Confluence;Jira,Confluence;Jira;Github;Microsoft Teams,No,Extremely important,Very important,Just because;Having a bad day (or week or month) at work;Curious about other opportunities;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Once every few years,Yes,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd;Research companies that have advertised on sites I visit,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Panic;Do other work and come back later,MacOS,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Linux,AWS;Linux;MacOS,I have some influence,Bisexual,Yes,"No, not really",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",NA,NA,Just as welcome now as I felt last year,40,44,30
648,I am a developer by profession,No,32,17,NA,NA,NA,France,European Euro,EUR,PostgreSQL,PostgreSQL,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Engineering manager;Senior executive/VP;System administrator","Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;How widely used or impactful my work output would be;Office environment or company culture,Very satisfied,I am not interested in new job opportunities,HTML/CSS;JavaScript;Python;SQL,HTML/CSS;JavaScript;Python;SQL,NA,NA,"Jira;Gitlab;Google Suite (Docs, Meet, etc)","Confluence;Jira;Gitlab;Google Suite (Docs, Meet, etc)",No,Somewhat important,Fairly important,Trouble with leadership at my company;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,Linux-based,2 to 9 employees,Android;AWS;Linux,AWS;Linux,I have a great deal of influence,Straight / Heterosexual,Yes,"Yes, somewhat",I have never participated in Q&A on Stack Overflow,Multiple times per day,Easy,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Django;Vue.js,Django;Vue.js,A lot less welcome now than last year,40,10,7
649,I am a developer by profession,Yes,23,5,NA,NA,NA,Turkey,NA,NA,Firebase;MongoDB;Redis,Firebase;Microsoft SQL Server;MongoDB;MySQL,NA,Some college/university study without earning a degree,Student,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",NA,"I’m not actively looking, but I am open to new opportunities",C#;Dart;HTML/CSS;Java;JavaScript;Python;TypeScript,C#;HTML/CSS;Java;JavaScript;SQL,.NET;.NET Core;Node.js;TensorFlow;Torch/PyTorch;Unity 3D,.NET;.NET Core;Node.js;Unity 3D,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Github;Gitlab;Slack;Trello,NA,NA,NA,Wanting to share accomplishments with a wider network;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Every few months,Not sure,NA,Yes,NA,Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,MacOS,NA,Android;Arduino;AWS;Docker;Heroku;Kubernetes;MacOS;Raspberry Pi,Android;Heroku;MacOS;Slack Apps and Integrations,NA,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per month or weekly,A few times per week,Neither easy nor difficult,Appropriate in length,No,NA,Express;jQuery;React.js,Express;jQuery;React.js,Just as welcome now as I felt last year,NA,3,NA
650,I am a developer by profession,Yes,30,14,Yearly,50000,37816,Canada,Canadian dollar,CAD,Elasticsearch;Firebase;Microsoft SQL Server;Redis,Microsoft SQL Server,"Database administrator;Developer, full-stack",NA,Employed full-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very satisfied,I am not interested in new job opportunities,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL,.NET Core,.NET;.NET Core,Microsoft Teams;Microsoft Azure,Microsoft Teams;Microsoft Azure,No,Somewhat important,Very important,Better compensation,NA,Once a year,NA,Onboarding? What onboarding?,No,Rarely: 1-2 days per year or less,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Windows,AWS;Windows,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",Less than once per month or monthly,Multiple times per day,Easy,NA,No,"Information systems, information technology, or system administration",ASP.NET Core;jQuery,ASP.NET;ASP.NET Core;jQuery,Just as welcome now as I felt last year,35,15,9
651,I am a developer by profession,Yes,22,15,NA,NA,NA,United States,NA,NA,Firebase;Microsoft SQL Server;Oracle,MySQL;SQLite,NA,Some college/university study without earning a degree,"Not employed, but looking for work",South Asian,"Non-binary, genderqueer, or gender non-conforming",NA,NA,I am actively looking for a job,C#;Objective-C;SQL,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,.NET;.NET Core,NA,Github;Slack,Github;Slack,NA,NA,NA,Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Yes,NA,Yes,NA,Start a free trial;Research companies that have advertised on sites I visit,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow,Windows,NA,iOS;Windows,Android;Windows,NA,Queer,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per week,Easy,Too long,No,"Computer science, computer engineering, or software engineering",NA,Django,NA,NA,8,NA
652,I am a developer by profession,Yes,25,10,Monthly,5500,15120,Brazil,Brazilian real,BRL,Firebase,Firebase,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,White or of European descent,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Opportunities for professional development",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Dart;Python;Swift,Bash/Shell/PowerShell;C;Objective-C;Python;Swift,Flutter,Flutter,Github;Gitlab;Slack,Github;Gitlab;Slack,No,Somewhat important,Somewhat important,Curious about other opportunities;Better compensation;Trouble with my direct manager;Better work/life balance,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,Yes,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,Android;iOS;Linux;MacOS,Android;Arduino;iOS;Linux;MacOS,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",NA,NA,Just as welcome now as I felt last year,40,10,2
653,I am a developer by profession,Yes,36,10,Yearly,2e+05,151263,Canada,Canadian dollar,CAD,DynamoDB;MySQL;SQLite,DynamoDB;MySQL;Oracle;SQLite,Data scientist or machine learning specialist;Product manager,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,White or of European descent,Man,Industry that I’d be working in;Specific department or team I’d be working on;How widely used or impactful my work output would be,Slightly dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Go;HTML/CSS;Python;R;Rust,Bash/Shell/PowerShell;C++;HTML/CSS;Python;R;Rust;Scala,Apache Spark;Keras;Pandas;TensorFlow;Teraform;Torch/PyTorch,Apache Spark;Keras;Pandas;TensorFlow;Teraform;Torch/PyTorch,"Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Neutral,Somewhat important,Having a bad day (or week or month) at work;Trouble with my direct manager,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,No,No,Sometimes: 1-2 days per month but less than weekly,Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,MacOS,100 to 499 employees,AWS;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations;Windows,I have a great deal of influence,NA,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"A natural science (such as biology, chemistry, physics, etc.)",Django;Flask,Django;Flask,Just as welcome now as I felt last year,40,13,13
654,I am a developer by profession,Yes,22,13,Weekly,325,16250,United States,United States dollar,USD,MongoDB;PostgreSQL;SQLite,MySQL;Oracle;PostgreSQL;SQLite,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,Diversity of the company or organization;Office environment or company culture;Opportunities for professional development,Slightly dissatisfied,I am actively looking for a job,Bash/Shell/PowerShell;C#;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Assembly;Bash/Shell/PowerShell;C#;C++;HTML/CSS;Java;Python;R;Ruby;SQL,.NET;.NET Core;Node.js;Pandas;Puppet;TensorFlow;Unity 3D;Unreal Engine,Unity 3D,Github;Slack;Trello,Github;Slack;Trello,No,Extremely important,Critically important,Having a bad day (or week or month) at work;Better compensation;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,No,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with;Research companies that have emailed me,Annoyed,Stack Overflow (public Q&A for anyone who codes);Stack Overflow Jobs (for job seekers),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,2 to 9 employees,Android;AWS;Docker;Linux;Windows,Android;Arduino;AWS;Linux;Windows,NA,NA,Yes,"Yes, somewhat",Less than once per month or monthly,A few times per month or weekly,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Flask,Django,Just as welcome now as I felt last year,20,8,Less than 1 year
655,I am a developer by profession,No,NA,28,NA,NA,NA,Israel,NA,NA,Firebase,Firebase,"Developer, mobile",I never completed any formal education,"Not employed, but looking for work",NA,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",NA,I am actively looking for a job,C++;Java,C++;Java,Flutter,NA,NA,NA,NA,NA,NA,Just because,"Read company media, such as employee blogs or company culture videos",Once a year,Not sure,NA,No,NA,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Do other work and come back later,Windows,NA,Android;iOS,Android,NA,NA,Yes,"Yes, somewhat",A few times per month or weekly,Multiple times per day,Easy,Too long,No,NA,NA,NA,Just as welcome now as I felt last year,NA,20,NA
656,I am a developer by profession,Yes,30,13,Yearly,75000,76237,Switzerland,Swiss franc,CHF,NA,NA,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,White or of European descent,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",Very dissatisfied,I am actively looking for a job,HTML/CSS;JavaScript;Python;TypeScript,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,NA,Node.js,Github;Gitlab,"Confluence;Github;Gitlab;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Having a bad day (or week or month) at work;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind)",Once every few years,No,Onboarding? What onboarding?,No,Never,NA,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,MacOS,100 to 499 employees,Docker;Kubernetes;Linux;MacOS,Linux;MacOS;WordPress,I have little or no influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Easy,Too short,NA,"Computer science, computer engineering, or software engineering",React.js;Vue.js,Angular.js;jQuery;React.js,Somewhat less welcome now than last year,42,12,6
657,I am a developer by profession,Yes,21,17,NA,NA,NA,"Venezuela, Bolivarian Republic of...",NA,NA,MySQL;SQLite,MySQL,"Academic researcher;Designer;Developer, front-end",Some college/university study without earning a degree,"Not employed, but looking for work",Hispanic or Latino/a/x,Man,"Industry that I’d be working in;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",NA,I am actively looking for a job,Haskell;HTML/CSS;JavaScript;SQL,C#;C++;Haskell;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Node.js;Unity 3D,Node.js;React Native,Github;Gitlab;Trello,"Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",NA,NA,Fairly important,Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,NA,Yes,NA,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later;Visit another developer community (please name):,Windows,NA,Heroku;Linux;Windows,Linux;Windows;WordPress,NA,NA,Yes,"No, not really",Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Express;React.js,Express;jQuery;Laravel;React.js;Vue.js,Somewhat more welcome now than last year,NA,4,NA
